n;Singly(us);Doubly(us);Array(us)
5000;77531;79271;65954
10000;347253;365141;273658
15000;962245;1017899;700350
20000;1850875;1845298;1198707
25000;3083244;2981896;1863564
30000;4508805;4332186;2880461
35000;6326618;6165790;3687305
40000;9028038;8597859;4959519
45000;12845932;12371626;6034698
50000;18337995;17807404;7514859
