n;Singly(ns);Doubly(ns);Array(ns)
5000;1.363;1.434;9.359
10000;1.424;1.512;9.320
15000;1.466;1.433;9.890
20000;1.546;1.623;9.944
25000;1.519;1.454;9.624
30000;1.544;1.530;9.346
35000;1.542;1.545;9.000
40000;1.515;1.584;9.347
45000;1.597;1.598;9.167
50000;1.642;1.655;10.016
