n;Singly(us);Doubly(us);Array(us)
5000;16332;16648;12896
10000;80561;78198;54907
15000;198586;196596;120362
20000;371729;395900;222352
25000;605882;696032;373113
30000;945650;952147;504955
35000;1375582;1321708;764855
40000;1787831;1786927;1001643
45000;2476618;2235528;1159819
50000;3318716;3127555;1506894
